002245.SZ,澳洋顺昌,2014-01-11,6.5,7.91,9.11,0.21692307692307694,0.15170670037926665
002245.SZ,澳洋顺昌,2017-02-27,9.56,9.78,9.37,0.02301255230125511,-0.04192229038854808
002245.SZ,澳洋顺昌,2014-01-11,6.5,7.91,9.11,0.21692307692307694,0.15170670037926665
002247.SZ,帝龙文化,2014-07-10,7.44,8.78,9.41,0.18010752688172027,0.07175398633257413
002249.SZ,大洋电机,2014-12-10,14.69,12.95,12.06,-0.1184479237576583,-0.06872586872586864
002249.SZ,大洋电机,2017-03-18,8.0,8.42,8.22,0.05249999999999999,-0.02375296912114006
002249.SZ,大洋电机,2014-12-10,14.69,12.95,12.06,-0.1184479237576583,-0.06872586872586864
002249.SZ,大洋电机,2017-03-18,8.0,8.42,8.22,0.05249999999999999,-0.02375296912114006
002250.SZ,联化科技,2011-12-10,23.0,21.25,18.5,-0.07608695652173914,-0.12941176470588237
002250.SZ,联化科技,2014-09-10,14.44,16.58,15.75,0.14819944598337942,-0.05006031363088048
002250.SZ,联化科技,2017-02-23,16.2,16.39,15.67,0.011728395061728474,-0.043929225137278864
002256.SZ,兆新股份,2013-12-04,7.82,9.44,8.44,0.207161125319693,-0.10593220338983052
002256.SZ,兆新股份,2013-12-04,7.82,9.44,8.44,0.207161125319693,-0.10593220338983052
002261.SZ,拓维信息,2014-06-25,17.78,18.23,17.34,0.02530933633295834,-0.0488206253428415
002264.SZ,新华都,2010-11-26,20.26,24.53,21.68,0.2107601184600197,-0.116184264166327
002266.SZ,浙富控股,2010-06-11,26.7,26.38,26.32,-0.011985018726591771,-0.0022744503411675026
002269.SZ,美邦服饰,2010-10-12,28.0,28.6,33.0,0.02142857142857148,0.1538461538461538
002269.SZ,美邦服饰,2013-12-25,12.55,12.66,10.91,0.008764940239043778,-0.1382306477093207
002271.SZ,东方雨虹,2013-07-06,19.22,19.25,23.88,0.0015608740894901738,0.24051948051948047
002271.SZ,东方雨虹,2016-07-28,17.18,20.66,22.57,0.20256111757857978,0.09244917715392062
002273.SZ,水晶光电,2010-11-30,41.49,46.8,50.18,0.12798264642082416,0.07222222222222228
002273.SZ,水晶光电,2016-10-31,25.48,23.8,22.57,-0.06593406593406592,-0.05168067226890758
002276.SZ,万马股份,2013-10-08,4.72,4.86,4.5,0.029661016949152665,-0.07407407407407414
002277.SZ,友阿股份,2011-09-29,22.97,19.82,22.02,-0.13713539399216362,0.11099899091826435
002279.SZ,久其软件,2017-08-23,11.24,12.23,12.8,0.08807829181494664,0.0466067048242028
002281.SZ,光迅科技,2014-11-12,38.06,38.51,41.28,0.011823436678927896,0.0719293689950663
002283.SZ,天润曲轴,2014-10-28,8.18,8.58,8.81,0.04889975550122254,0.026806526806526856
002285.SZ,世联行,2016-02-06,12.37,10.44,14.3,-0.15602263540824574,0.36973180076628365
002285.SZ,世联行,2017-08-30,11.26,12.46,11.67,0.10657193605683846,-0.06340288924558594
